startTime,generation
2024-01-12 13:30:00+00:00,3509
2024-01-12 14:00:00+00:00,3690
2024-01-12 14:30:00+00:00,3862
2024-01-12 15:00:00+00:00,4220
2024-01-12 15:30:00+00:00,4438
2024-01-12 16:00:00+00:00,4527
2024-01-12 16:30:00+00:00,4514
2024-01-12 17:00:00+00:00,4405
2024-01-12 17:30:00+00:00,4641
2024-01-12 18:00:00+00:00,4639
2024-01-12 18:30:00+00:00,4654
2024-01-12 19:00:00+00:00,4837
2024-01-12 19:30:00+00:00,4946
2024-01-12 20:00:00+00:00,5083
2024-01-12 20:30:00+00:00,5256
2024-01-12 21:00:00+00:00,5486
2024-01-12 21:30:00+00:00,5685
2024-01-12 22:00:00+00:00,5842
2024-01-12 22:30:00+00:00,6017
2024-01-12 23:00:00+00:00,6359
2024-01-12 23:30:00+00:00,6250
2024-01-13 00:00:00+00:00,6319
2024-01-13 00:30:00+00:00,6644
2024-01-13 01:00:00+00:00,6801
2024-01-13 01:30:00+00:00,6993
2024-01-13 02:00:00+00:00,7297
2024-01-13 02:30:00+00:00,7132
2024-01-13 03:00:00+00:00,7695
2024-01-13 03:30:00+00:00,8002
2024-01-13 04:00:00+00:00,8191
2024-01-13 04:30:00+00:00,7774
2024-01-13 05:00:00+00:00,7678
2024-01-13 05:30:00+00:00,7498
2024-01-13 06:00:00+00:00,7446
2024-01-13 06:30:00+00:00,7622
2024-01-13 07:00:00+00:00,7765
2024-01-13 07:30:00+00:00,7841
2024-01-13 08:00:00+00:00,7975
2024-01-13 08:30:00+00:00,7749
2024-01-13 09:00:00+00:00,7662
2024-01-13 09:30:00+00:00,7493
2024-01-13 10:00:00+00:00,7384
2024-01-13 10:30:00+00:00,7190
2024-01-13 11:00:00+00:00,7093
2024-01-13 11:30:00+00:00,6901
2024-01-13 12:00:00+00:00,6834
2024-01-13 12:30:00+00:00,6663
2024-01-13 13:00:00+00:00,6733
2024-01-13 13:30:00+00:00,7017
2024-01-13 14:00:00+00:00,7450
2024-01-13 14:30:00+00:00,7282
2024-01-13 15:00:00+00:00,7003
2024-01-13 15:30:00+00:00,6950
2024-01-13 16:00:00+00:00,6768
2024-01-13 16:30:00+00:00,6834
2024-01-13 17:00:00+00:00,6416
2024-01-13 17:30:00+00:00,6418
2024-01-13 18:00:00+00:00,6446
2024-01-13 18:30:00+00:00,6499
2024-01-13 19:00:00+00:00,6755
2024-01-13 19:30:00+00:00,6763
2024-01-13 20:00:00+00:00,6706
2024-01-13 20:30:00+00:00,6901
2024-01-13 21:00:00+00:00,7009
2024-01-13 21:30:00+00:00,6897
2024-01-13 22:00:00+00:00,6926
2024-01-13 22:30:00+00:00,6531
2024-01-13 23:00:00+00:00,6264
2024-01-13 23:30:00+00:00,5986
2024-01-14 00:00:00+00:00,5873
2024-01-14 00:30:00+00:00,6160
2024-01-14 01:00:00+00:00,6058
2024-01-14 01:30:00+00:00,6093
2024-01-14 02:00:00+00:00,5737
2024-01-14 02:30:00+00:00,5526
2024-01-14 03:00:00+00:00,5596
2024-01-14 03:30:00+00:00,5538
2024-01-14 04:00:00+00:00,5477
2024-01-14 04:30:00+00:00,5367
